id,name,canonical_name,type
60,Antimicrobial mechanism of IFN-stimulated genes,antimicrobial mechanism of ifn-stimulated genes,pathway
61,Antimicrobial peptides,antimicrobial peptides,pathway
62,Apoptosis,apoptosis,pathway
63,Aquaporin-mediated transport,aquaporin-mediated transport,pathway
64,Arachidonate metabolism,arachidonate metabolism,pathway
65,Aryl hydrocarbon receptor signalling,aryl hydrocarbon receptor signalling,pathway
66,Asparagine N-linked glycosylation,asparagine n-linked glycosylation,pathway
67,Aspirin ADME,aspirin adme,pathway
68,Assembly and cell surface presentation of NMDA receptors,assembly and cell surface presentation of nmda receptors,pathway
69,Assembly and release of respiratory syncytial virus (RSV) virions,assembly and release of respiratory syncytial virus (rsv) virions,pathway
70,Assembly of collagen fibrils and other multimeric structures,assembly of collagen fibrils and other multimeric structures,pathway
71,Association of TriC/CCT with target proteins during biosynthesis,association of tric/cct with target proteins during biosynthesis,pathway
72,Atorvastatin ADME,atorvastatin adme,pathway
73,Attachment of bacteria to epithelial cells,attachment of bacteria to epithelial cells,pathway
74,Attenuation phase,attenuation phase,pathway
75,Autophagy,autophagy,pathway
76,Axon guidance,axon guidance,pathway
77,Azathioprine ADME,azathioprine adme,pathway
78,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,bh3-only proteins associate with and inactivate anti-apoptotic bcl-2 members,pathway
79,Bacterial Infection Pathways,bacterial infection pathways,pathway
80,Base Excision Repair,base excision repair,pathway
81,Basigin interactions,basigin interactions,pathway
82,Beta-catenin independent WNT signaling,beta-catenin independent wnt signaling,pathway
83,Bile acid and bile salt metabolism,bile acid and bile salt metabolism,pathway
84,Binding and Uptake of Ligands by Scavenger Receptors,binding and uptake of ligands by scavenger receptors,pathway
85,Biofilm formation,biofilm formation,pathway
86,Biological oxidations,biological oxidations,pathway
87,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,butyrate response factor 1 (brf1) binds and destabilizes mrna,pathway
88,C-type lectin receptors (CLRs),c-type lectin receptors (clrs),pathway
89,CASP4 inflammasome assembly,casp4 inflammasome assembly,pathway
90,CASP4-mediated substrate cleavage,casp4-mediated substrate cleavage,pathway
91,CD28 dependent PI3K/Akt signaling,cd28 dependent pi3k/akt signaling,pathway
92,CDC42 GTPase cycle,cdc42 gtpase cycle,pathway
93,CLEC7A (Dectin-1) signaling,clec7a (dectin-1) signaling,pathway
94,COPI-dependent Golgi-to-ER retrograde traffic,copi-dependent golgi-to-er retrograde traffic,pathway
95,COPI-independent Golgi-to-ER retrograde traffic,copi-independent golgi-to-er retrograde traffic,pathway
96,COPI-mediated anterograde transport,copi-mediated anterograde transport,pathway
97,COPII-mediated vesicle transport,copii-mediated vesicle transport,pathway
98,CRMPs in Sema3A signaling,crmps in sema3a signaling,pathway
99,Ca2+ pathway,ca2+ pathway,pathway
100,Calcineurin activates NFAT,calcineurin activates nfat,pathway
101,Carboxyterminal post-translational modifications of tubulin,carboxyterminal post-translational modifications of tubulin,pathway
102,Cardiac conduction,cardiac conduction,pathway
103,Cargo concentration in the ER,cargo concentration in the er,pathway
104,Cargo recognition for clathrin-mediated endocytosis,cargo recognition for clathrin-mediated endocytosis,pathway
105,Cargo trafficking to the periciliary membrane,cargo trafficking to the periciliary membrane,pathway
106,Cell Cycle,cell cycle,pathway
107,Cell Cycle Checkpoints,cell cycle checkpoints,pathway
108,"Cell Cycle, Mitotic","cell cycle, mitotic",pathway
109,Cell junction organization,cell junction organization,pathway
110,Cell recruitment (pro-inflammatory response),cell recruitment (pro-inflammatory response),pathway
111,Cell surface interactions at the vascular wall,cell surface interactions at the vascular wall,pathway
112,Cell-Cell communication,cell-cell communication,pathway
113,Cell-cell junction organization,cell-cell junction organization,pathway
114,Cellular Senescence,cellular senescence,pathway
115,Cellular response to chemical stress,cellular response to chemical stress,pathway
116,Cellular response to heat stress,cellular response to heat stress,pathway
117,Cellular response to hypoxia,cellular response to hypoxia,pathway
118,Cellular response to starvation,cellular response to starvation,pathway
119,Cellular responses to mechanical stimuli,cellular responses to mechanical stimuli,pathway
120,Cellular responses to stimuli,cellular responses to stimuli,pathway
121,Cellular responses to stress,cellular responses to stress,pathway
122,Centrosome maturation,centrosome maturation,pathway
123,Chaperone Mediated Autophagy,chaperone mediated autophagy,pathway
124,Chaperonin-mediated protein folding,chaperonin-mediated protein folding,pathway
125,Chemokine receptors bind chemokines,chemokine receptors bind chemokines,pathway
126,Chromatin modifying enzymes,chromatin modifying enzymes,pathway
127,Chromatin organization,chromatin organization,pathway
128,Chromosome Maintenance,chromosome maintenance,pathway
129,Cilium Assembly,cilium assembly,pathway
130,Circadian clock,circadian clock,pathway
131,Class A/1 (Rhodopsin-like receptors),class a/1 (rhodopsin-like receptors),pathway
132,Class B/2 (Secretin family receptors),class b/2 (secretin family receptors),pathway
133,Class I MHC mediated antigen processing & presentation,class i mhc mediated antigen processing & presentation,pathway
134,Clathrin-mediated endocytosis,clathrin-mediated endocytosis,pathway
135,Co-inhibition by CTLA4,co-inhibition by ctla4,pathway
136,Co-inhibition by PD-1,co-inhibition by pd-1,pathway
137,Co-stimulation by CD28,co-stimulation by cd28,pathway
138,Co-stimulation by ICOS,co-stimulation by icos,pathway
139,Collagen biosynthesis and modifying enzymes,collagen biosynthesis and modifying enzymes,pathway
140,Collagen degradation,collagen degradation,pathway
141,Collagen formation,collagen formation,pathway
142,Complement cascade,complement cascade,pathway
143,Condensation of Prophase Chromosomes,condensation of prophase chromosomes,pathway
144,Constitutive Signaling by AKT1 E17K in Cancer,constitutive signaling by akt1 e17k in cancer,pathway
145,Constitutive Signaling by Aberrant PI3K in Cancer,constitutive signaling by aberrant pi3k in cancer,pathway
146,Constitutive Signaling by EGFRvIII,constitutive signaling by egfrviii,pathway
147,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,constitutive signaling by ligand-responsive egfr cancer variants,pathway
148,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,constitutive signaling by notch1 hd+pest domain mutants,pathway
149,Constitutive Signaling by NOTCH1 PEST Domain Mutants,constitutive signaling by notch1 pest domain mutants,pathway
150,Constitutive Signaling by Overexpressed ERBB2,constitutive signaling by overexpressed erbb2,pathway
151,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,cooperation of pdcl (phlp1) and tric/cct in g-protein beta folding,pathway
152,Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,cooperation of prefoldin and tric/cct in actin and tubulin folding,pathway
153,Creatine metabolism,creatine metabolism,pathway
154,Cyclin A/B1/B2 associated events during G2/M transition,cyclin a/b1/b2 associated events during g2/m transition,pathway
155,Cyclin A:Cdk2-associated events at S phase entry,cyclin a:cdk2-associated events at s phase entry,pathway
156,Cyclin D associated events in G1,cyclin d associated events in g1,pathway
157,Cyclin E associated events during G1/S transition ,cyclin e associated events during g1/s transition,pathway
158,Cytochrome P450 - arranged by substrate type,cytochrome p450 - arranged by substrate type,pathway
159,Cytokine Signaling in Immune system,cytokine signaling in immune system,pathway
160,Cytoprotection by HMOX1,cytoprotection by hmox1,pathway
161,Cytosolic iron-sulfur cluster assembly,cytosolic iron-sulfur cluster assembly,pathway
162,DAP12 interactions,dap12 interactions,pathway
163,DAP12 signaling,dap12 signaling,pathway
164,DCC mediated attractive signaling,dcc mediated attractive signaling,pathway
165,DDX58/IFIH1-mediated induction of interferon-alpha/beta,ddx58/ifih1-mediated induction of interferon-alpha/beta,pathway
166,DNA Damage Bypass,dna damage bypass,pathway
167,DNA Damage Recognition in GG-NER,dna damage recognition in gg-ner,pathway
168,DNA Damage/Telomere Stress Induced Senescence,dna damage/telomere stress induced senescence,pathway
169,DNA Double Strand Break Response,dna double strand break response,pathway
170,DNA Double-Strand Break Repair,dna double-strand break repair,pathway
171,DNA Repair,dna repair,pathway
172,DNA Replication,dna replication,pathway
173,DNA Replication Pre-Initiation,dna replication pre-initiation,pathway
174,DNA methylation,dna methylation,pathway
175,DNA replication initiation,dna replication initiation,pathway
176,DNA strand elongation,dna strand elongation,pathway
177,Dasatinib-resistant KIT mutants,dasatinib-resistant kit mutants,pathway
178,Deactivation of the beta-catenin transactivating complex,deactivation of the beta-catenin transactivating complex,pathway
179,Death Receptor Signaling,death receptor signaling,pathway
180,Defective B3GALTL causes PpS,defective b3galtl causes pps,pathway
181,Defective CYP19A1 causes AEXS,defective cyp19a1 causes aexs,pathway
182,Defective Intrinsic Pathway for Apoptosis,defective intrinsic pathway for apoptosis,pathway
183,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)","defective binding of rb1 mutants to e2f1,(e2f2, e2f3)",pathway
184,Defective pyroptosis,defective pyroptosis,pathway
185,Degradation of CDH1,degradation of cdh1,pathway
186,Degradation of CRY and PER proteins,degradation of cry and per proteins,pathway
187,Degradation of DVL,degradation of dvl,pathway
188,Degradation of GABA,degradation of gaba,pathway
189,Degradation of GLI1 by the proteasome,degradation of gli1 by the proteasome,pathway
190,Degradation of GLI2 by the proteasome,degradation of gli2 by the proteasome,pathway
191,Degradation of beta-catenin by the destruction complex,degradation of beta-catenin by the destruction complex,pathway
192,Degradation of the extracellular matrix,degradation of the extracellular matrix,pathway
193,Dengue Virus Attachment and Entry,dengue virus attachment and entry,pathway
194,Dengue Virus Infection,dengue virus infection,pathway
195,Dengue Virus-Host Interactions,dengue virus-host interactions,pathway
196,Dengue virus activates/modulates innate and adaptive immune responses,dengue virus activates/modulates innate and adaptive immune responses,pathway
197,Dengue virus modulates apoptosis,dengue virus modulates apoptosis,pathway
198,Deposition of new CENPA-containing nucleosomes at the centromere,deposition of new cenpa-containing nucleosomes at the centromere,pathway
199,Detoxification of Reactive Oxygen Species,detoxification of reactive oxygen species,pathway
200,Deubiquitination,deubiquitination,pathway
201,Developmental Biology,developmental biology,pathway
202,Developmental Cell Lineages,developmental cell lineages,pathway
203,Developmental Cell Lineages of the Exocrine Pancreas,developmental cell lineages of the exocrine pancreas,pathway
204,Developmental Cell Lineages of the Integumentary System,developmental cell lineages of the integumentary system,pathway
205,Developmental Lineage of Mammary Gland Alveolar Cells,developmental lineage of mammary gland alveolar cells,pathway
206,Developmental Lineage of Mammary Gland Luminal Epithelial Cells,developmental lineage of mammary gland luminal epithelial cells,pathway
207,Developmental Lineage of Mammary Gland Myoepithelial Cells,developmental lineage of mammary gland myoepithelial cells,pathway
208,Developmental Lineage of Mammary Stem Cells,developmental lineage of mammary stem cells,pathway
209,Developmental Lineage of Pancreatic Ductal Cells,developmental lineage of pancreatic ductal cells,pathway
210,Developmental Lineages of the Mammary Gland,developmental lineages of the mammary gland,pathway
211,Differentiation of Keratinocytes in Interfollicular Epidermis in Mammalian Skin,differentiation of keratinocytes in interfollicular epidermis in mammalian skin,pathway
212,Disease,disease,pathway
213,Diseases associated with O-glycosylation of proteins,diseases associated with o-glycosylation of proteins,pathway
214,Diseases associated with the TLR signaling cascade,diseases associated with the tlr signaling cascade,pathway
215,Diseases of Cellular Senescence,diseases of cellular senescence,pathway
216,Diseases of Immune System,diseases of immune system,pathway
217,Diseases of cellular response to stress,diseases of cellular response to stress,pathway
218,Diseases of glycosylation,diseases of glycosylation,pathway
219,Diseases of metabolism,diseases of metabolism,pathway
220,Diseases of mitotic cell cycle,diseases of mitotic cell cycle,pathway
221,Diseases of programmed cell death,diseases of programmed cell death,pathway
222,Diseases of signal transduction by growth factor receptors and second messengers,diseases of signal transduction by growth factor receptors and second messengers,pathway
223,Disorders of Developmental Biology,disorders of developmental biology,pathway
224,Disorders of Nervous System Development,disorders of nervous system development,pathway
225,Dissolution of Fibrin Clot,dissolution of fibrin clot,pathway
226,Dopamine Neurotransmitter Release Cycle,dopamine neurotransmitter release cycle,pathway
227,Downregulation of ERBB2 signaling,downregulation of erbb2 signaling,pathway
228,Downregulation of ERBB2:ERBB3 signaling,downregulation of erbb2:erbb3 signaling,pathway
229,Downregulation of ERBB4 signaling,downregulation of erbb4 signaling,pathway
230,Downregulation of SMAD2/3:SMAD4 transcriptional activity,downregulation of smad2/3:smad4 transcriptional activity,pathway
231,Downstream TCR signaling,downstream tcr signaling,pathway
232,Downstream signal transduction,downstream signal transduction,pathway
233,Downstream signaling events of B Cell Receptor (BCR),downstream signaling events of b cell receptor (bcr),pathway
234,Downstream signaling of activated FGFR1,downstream signaling of activated fgfr1,pathway
235,Downstream signaling of activated FGFR2,downstream signaling of activated fgfr2,pathway
236,Downstream signaling of activated FGFR3,downstream signaling of activated fgfr3,pathway
237,Downstream signaling of activated FGFR4,downstream signaling of activated fgfr4,pathway
238,Drug ADME,drug adme,pathway
239,Drug resistance in ERBB2 KD mutants,drug resistance in erbb2 kd mutants,pathway
240,Drug resistance in ERBB2 TMD/JMD mutants,drug resistance in erbb2 tmd/jmd mutants,pathway
241,Drug resistance of FLT3 mutants,drug resistance of flt3 mutants,pathway
242,Drug resistance of KIT mutants,drug resistance of kit mutants,pathway
243,Drug resistance of PDGFR mutants,drug resistance of pdgfr mutants,pathway
244,Drug-mediated inhibition of CDK4/CDK6 activity,drug-mediated inhibition of cdk4/cdk6 activity,pathway
245,Drug-mediated inhibition of ERBB2 signaling,drug-mediated inhibition of erbb2 signaling,pathway
246,Dual Incision in GG-NER,dual incision in gg-ner,pathway
247,Dual incision in TC-NER,dual incision in tc-ner,pathway
248,E2F mediated regulation of DNA replication,e2f mediated regulation of dna replication,pathway
249,ECM proteoglycans,ecm proteoglycans,pathway
250,EGFR Transactivation by Gastrin,egfr transactivation by gastrin,pathway
251,EGFR downregulation,egfr downregulation,pathway
252,EGFR interacts with phospholipase C-gamma,egfr interacts with phospholipase c-gamma,pathway
253,EGR2 and SOX10-mediated initiation of Schwann cell myelination,egr2 and sox10-mediated initiation of schwann cell myelination,pathway
254,EML4 and NUDC in mitotic spindle formation,eml4 and nudc in mitotic spindle formation,pathway
255,EPH-Ephrin signaling,eph-ephrin signaling,pathway
256,EPH-ephrin mediated repulsion of cells,eph-ephrin mediated repulsion of cells,pathway
257,EPHA-mediated growth cone collapse,epha-mediated growth cone collapse,pathway
258,EPHB-mediated forward signaling,ephb-mediated forward signaling,pathway
259,ER to Golgi Anterograde Transport,er to golgi anterograde transport,pathway
260,ER-Phagosome pathway,er-phagosome pathway,pathway
261,ERBB2 Activates PTK6 Signaling,erbb2 activates ptk6 signaling,pathway
262,ERBB2 Regulates Cell Motility,erbb2 regulates cell motility,pathway
263,ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression,ercc6 (csb) and ehmt2 (g9a) positively regulate rrna expression,pathway
264,ERK/MAPK targets,erk/mapk targets,pathway
265,ESR-mediated signaling,esr-mediated signaling,pathway
266,Elastic fibre formation,elastic fibre formation,pathway
267,Endogenous sterols,endogenous sterols,pathway
268,Energy dependent regulation of mTOR by LKB1-AMPK,energy dependent regulation of mtor by lkb1-ampk,pathway
269,Enterobacterial factors antagonize host defense ,enterobacterial factors antagonize host defense,pathway
270,Ephrin signaling,ephrin signaling,pathway
271,Epigenetic regulation by WDR5-containing histone modifying complexes,epigenetic regulation by wdr5-containing histone modifying complexes,pathway
272,Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes,epigenetic regulation of adipogenesis genes by mll3 and mll4 complexes,pathway
273,Epigenetic regulation of gene expression,epigenetic regulation of gene expression,pathway
274,Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,epigenetic regulation of gene expression by mll3 and mll4 complexes,pathway
275,Epithelial-Mesenchymal Transition (EMT) during gastrulation,epithelial-mesenchymal transition (emt) during gastrulation,pathway
276,Erythropoietin activates Phosphoinositide-3-kinase (PI3K),erythropoietin activates phosphoinositide-3-kinase (pi3k),pathway
277,Estrogen biosynthesis,estrogen biosynthesis,pathway
278,Estrogen-dependent gene expression,estrogen-dependent gene expression,pathway
279,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,estrogen-dependent nuclear events downstream of esr-membrane signaling,pathway
280,Evasion by RSV of host interferon responses,evasion by rsv of host interferon responses,pathway
281,Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4,evasion of oncogene induced senescence due to defective p16ink4a binding to cdk4,pathway
282,Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,evasion of oncogene induced senescence due to defective p16ink4a binding to cdk4 and cdk6,pathway
283,Evasion of Oncogene Induced Senescence Due to p16INK4A Defects,evasion of oncogene induced senescence due to p16ink4a defects,pathway
284,Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4,evasion of oxidative stress induced senescence due to defective p16ink4a binding to cdk4,pathway
285,Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,evasion of oxidative stress induced senescence due to defective p16ink4a binding to cdk4 and cdk6,pathway
286,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,evasion of oxidative stress induced senescence due to p16ink4a defects,pathway
287,Extension of Telomeres,extension of telomeres,pathway
288,Extra-nuclear estrogen signaling,extra-nuclear estrogen signaling,pathway
289,Extracellular matrix organization,extracellular matrix organization,pathway
290,Extrinsic Pathway of Fibrin Clot Formation,extrinsic pathway of fibrin clot formation,pathway
291,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,fbxl7 down-regulates aurka during mitotic entry and in early mitosis,pathway
292,FBXW7 Mutants and NOTCH1 in Cancer,fbxw7 mutants and notch1 in cancer,pathway
293,FCERI mediated Ca+2 mobilization,fceri mediated ca+2 mobilization,pathway
294,FCGR activation,fcgr activation,pathway
295,FCGR3A-mediated IL10 synthesis,fcgr3a-mediated il10 synthesis,pathway
296,FCGR3A-mediated phagocytosis,fcgr3a-mediated phagocytosis,pathway
297,FGFR1 ligand binding and activation,fgfr1 ligand binding and activation,pathway
298,FGFR1 mutant receptor activation,fgfr1 mutant receptor activation,pathway
299,FGFR1b ligand binding and activation,fgfr1b ligand binding and activation,pathway
300,FGFR1c and Klotho ligand binding and activation,fgfr1c and klotho ligand binding and activation,pathway
301,FGFR1c ligand binding and activation,fgfr1c ligand binding and activation,pathway
302,FGFR2 ligand binding and activation,fgfr2 ligand binding and activation,pathway
303,FGFR2 mutant receptor activation,fgfr2 mutant receptor activation,pathway
304,FGFR2b ligand binding and activation,fgfr2b ligand binding and activation,pathway
305,FGFR2c ligand binding and activation,fgfr2c ligand binding and activation,pathway
306,FGFR3 ligand binding and activation,fgfr3 ligand binding and activation,pathway
307,FGFR3 mutant receptor activation,fgfr3 mutant receptor activation,pathway
308,FGFR3b ligand binding and activation,fgfr3b ligand binding and activation,pathway
309,FGFR3c ligand binding and activation,fgfr3c ligand binding and activation,pathway
310,FLT3 Signaling,flt3 signaling,pathway
311,FLT3 mutants bind TKIs,flt3 mutants bind tkis,pathway
312,FLT3 signaling by CBL mutants,flt3 signaling by cbl mutants,pathway
313,FLT3 signaling in disease,flt3 signaling in disease,pathway
314,FLT3 signaling through SRC family kinases,flt3 signaling through src family kinases,pathway
315,FOXO-mediated transcription,foxo-mediated transcription,pathway
316,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","foxo-mediated transcription of oxidative stress, metabolic and neuronal genes",pathway
317,FRS-mediated FGFR1 signaling,frs-mediated fgfr1 signaling,pathway
318,FRS-mediated FGFR2 signaling,frs-mediated fgfr2 signaling,pathway
319,FRS-mediated FGFR3 signaling,frs-mediated fgfr3 signaling,pathway
320,Factors involved in megakaryocyte development and platelet production,factors involved in megakaryocyte development and platelet production,pathway
321,Fatty acid metabolism,fatty acid metabolism,pathway
322,Fc epsilon receptor (FCERI) signaling,fc epsilon receptor (fceri) signaling,pathway
323,Fcgamma receptor (FCGR) dependent phagocytosis,fcgamma receptor (fcgr) dependent phagocytosis,pathway
324,Formation of Fibrin Clot (Clotting Cascade),formation of fibrin clot (clotting cascade),pathway
325,Formation of Incision Complex in GG-NER,formation of incision complex in gg-ner,pathway
326,Formation of TC-NER Pre-Incision Complex,formation of tc-ner pre-incision complex,pathway
327,Formation of neuronal progenitor and neuronal BAF (npBAF and nBAF),formation of neuronal progenitor and neuronal baf (npbaf and nbaf),pathway
328,Formation of paraxial mesoderm,formation of paraxial mesoderm,pathway
329,Formation of the beta-catenin:TCF transactivating complex,formation of the beta-catenin:tcf transactivating complex,pathway
330,Formation of the cornified envelope,formation of the cornified envelope,pathway
331,Formation of the dystrophin-glycoprotein complex (DGC),formation of the dystrophin-glycoprotein complex (dgc),pathway
332,Formation of the nephric duct,formation of the nephric duct,pathway
333,Formation of the ureteric bud,formation of the ureteric bud,pathway
334,Formation of tubulin folding intermediates by CCT/TriC,formation of tubulin folding intermediates by cct/tric,pathway
335,Frs2-mediated activation,frs2-mediated activation,pathway
336,G alpha (12/13) signalling events,g alpha (12/13) signalling events,pathway
337,G alpha (i) signalling events,g alpha (i) signalling events,pathway
338,G alpha (q) signalling events,g alpha (q) signalling events,pathway
339,G alpha (s) signalling events,g alpha (s) signalling events,pathway
340,G alpha (z) signalling events,g alpha (z) signalling events,pathway
341,G beta:gamma signalling through BTK,g beta:gamma signalling through btk,pathway
342,G beta:gamma signalling through CDC42,g beta:gamma signalling through cdc42,pathway
343,G beta:gamma signalling through PI3Kgamma,g beta:gamma signalling through pi3kgamma,pathway
344,G beta:gamma signalling through PLC beta,g beta:gamma signalling through plc beta,pathway
345,G protein gated Potassium channels,g protein gated potassium channels,pathway
346,G-protein activation,g-protein activation,pathway
347,G-protein beta:gamma signalling,g-protein beta:gamma signalling,pathway
348,G0 and Early G1,g0 and early g1,pathway
349,G1 Phase,g1 phase,pathway
350,G1/S DNA Damage Checkpoints,g1/s dna damage checkpoints,pathway
351,G1/S Transition,g1/s transition,pathway
352,G1/S-Specific Transcription,g1/s-specific transcription,pathway
353,G2/M Transition,g2/m transition,pathway
354,GAB1 signalosome,gab1 signalosome,pathway
355,GABA B receptor activation,gaba b receptor activation,pathway
356,GABA receptor activation,gaba receptor activation,pathway
357,"GABA synthesis, release, reuptake and degradation","gaba synthesis, release, reuptake and degradation",pathway
358,GBP-mediated host defense,gbp-mediated host defense,pathway
359,GLI3 is processed to GLI3R by the proteasome,gli3 is processed to gli3r by the proteasome,pathway
360,GP1b-IX-V activation signalling,gp1b-ix-v activation signalling,pathway
361,GPCR downstream signalling,gpcr downstream signalling,pathway
362,GPCR ligand binding,gpcr ligand binding,pathway
363,GPER1 signaling,gper1 signaling,pathway
364,GPVI-mediated activation cascade,gpvi-mediated activation cascade,pathway
365,GRB2 events in EGFR signaling,grb2 events in egfr signaling,pathway
366,GRB2 events in ERBB2 signaling,grb2 events in erbb2 signaling,pathway
367,GRB2:SOS provides linkage to MAPK signaling for Integrins ,grb2:sos provides linkage to mapk signaling for integrins,pathway
368,GRB7 events in ERBB2 signaling,grb7 events in erbb2 signaling,pathway
369,GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2,gsk3b and btrc:cul1-mediated-degradation of nfe2l2,pathway
